id,titulo,frente,estado,dono,dono_nomeado,depende_de,estimativa,evidencia,data_conferido,proximo_movimento,bloqueia_objetivo
RF-06,Refresh token automático para sessões longas,Pendentes fora do escopo atual,A fazer,A NOMEAR,,,,USE_CASES.md apêndice Pendentes — prioridade Média; openapi.json expõe só /api/auth/login sem rota de refresh,2026-08-17,Nomear dono e dimensionar — é o pendente de maior prioridade dos três,
RF-56,Edição de email da conta com validação de unicidade,Pendentes fora do escopo atual,A fazer,A NOMEAR,,,,USE_CASES.md apêndice Pendentes — prioridade Baixa; openapi.json não expõe rota de alteração de email,2026-08-17,Decidir se entra no escopo antes de virar dívida silenciosa — sem dono a linha não é cobrável,
ACH-01,USE_CASES.md contradiz a si mesmo sobre o escopo Ultralearning,Achados do documento,A fazer,A NOMEAR,,,,USE_CASES.md §1.1 lista US-10 a US-13 como fora do escopo atual; §2.12 marca UC-34 a UC-37 como ✅ Implementado,2026-08-17,Corrigir a §2.12 — a conferência do UC-34 mostrou que o código existe (§1.1 erra na letra) mas não entrega o comportamento (§2.12 erra no efeito),
ACH-02,Seção de subgrupos numerada como 2.X no sumário,Achados do documento,A fazer,A NOMEAR,,,,USE_CASES.md linha 1155 traz o literal ### 2.X Subgrupos de Caderno entre as seções 2.12 e 3,2026-08-17,Renumerar para 2.13 — a frente do CSV herda esse nome enquanto não for corrigido,
ISS-01,Incluir botão de voltar no menu Profile,Issues do GitHub,A fazer,A NOMEAR,,,,chrystiannascimento/anki-cyanki#1 — aberta por martinelles em 22/06/2026 e ainda Open,2026-08-17,Nomear dono — é correção de rota em /profile e não depende de decisão de escopo,
ISS-02,Melhorar mensagens de erro na inserção de chaves Gemini,Issues do GitHub,A fazer,A NOMEAR,,,,chrystiannascimento/anki-cyanki#2 — aberta por martinelles em 22/06/2026 e ainda Open,2026-08-17,Nomear dono — toca UC-30 (configuração de chave de IA) que está marcado concluído,
ISS-03,Padronizar língua do produto entre inglês e português,Issues do GitHub,Concluido,Martinelle Santos,sim,,,texto de tela em português em login/+page.svelte register/+page.svelte dashboard/+page.svelte notebooks/+page.svelte Sidebar.svelte e Header.svelte — rotas e identificadores mantidos em inglês por convenção de código,2026-08-17,,
ISS-04,Inserir um modelo ou instruções de .md ao criar um caderno,Issues do GitHub,A fazer,A NOMEAR,,,,chrystiannascimento/anki-cyanki#4 — aberta por martinelles em 22/06/2026 e ainda Open,2026-08-17,Nomear dono — toca UC-21 (ingestão via Markdown) que está marcado concluído,
ISS-05,Página de simulados da comunidade não existe,Issues do GitHub,A fazer,A NOMEAR,,,,chrystiannascimento/anki-cyanki#5 — aberta por martinelles em 22/06/2026 e ainda Open,2026-08-17,Decidir se simulados entram no escopo — não há UC no USE_CASES.md que os preveja,
ISS-06,Página Meus simulados não existe,Issues do GitHub,A fazer,A NOMEAR,,,,chrystiannascimento/anki-cyanki#6 — aberta por martinelles em 22/06/2026 e ainda Open,2026-08-17,Decidir junto com ISS-05 — são a mesma frente e não faz sentido decidir uma sem a outra,
